Departamento;Municipio;División;Personas en hogares particulares;Sin servicio de energía eléctrica;No tiene;Estrato 1;Estrato 2;Estrato 3;Estrato 4;Estrato 5;Estrato 6;No sabe o no responde
05_Antioquia;;Rural disperso;8.463;165;400;3.836;3.354;469;136;56;38;9
05_Antioquia;05091_Betania;Total;8.589;158;57;1.296;6.383;676;0;5;1;13
05_Antioquia;;Cabecera;3.400;49;2;537;2.503;308;0;0;1;0
05_Antioquia;;Centro poblado;94;0;0;69;25;0;0;0;0;0
05_Antioquia;;Rural disperso;5.095;109;55;690;3.855;368;0;5;0;13
05_Antioquia;05093_Betulia;Total;15.069;358;111;8.743;3.812;837;154;21;15;1.018
05_Antioquia;;Cabecera;4.163;61;25;1.646;1.843;484;12;1;4;87
05_Antioquia;;Centro poblado;997;9;9;408;412;103;1;0;0;55
05_Antioquia;;Rural disperso;9.909;288;77;6.689;1.557;250;141;20;11;876
05_Antioquia;05101_Ciudad Bolívar;Total;23.086;165;237;5.485;10.949;5.194;113;10;0;933
05_Antioquia;;Cabecera;14.487;48;166;3.643;5.882;4.551;59;4;0;134
05_Antioquia;;Centro poblado;1.470;8;5;368;1.048;30;0;0;0;11
05_Antioquia;;Rural disperso;7.129;109;66;1.474;4.019;613;54;6;0;788
05_Antioquia;05107_Briceño;Total;5.946;249;20;3.369;1.974;327;3;0;0;4
05_Antioquia;;Cabecera;2.456;13;0;490;1.628;319;3;0;0;3
05_Antioquia;;Centro poblado;329;8;1;285;35;0;0;0;0;0
05_Antioquia;;Rural disperso;3.161;228;19;2.594;311;8;0;0;0;1
05_Antioquia;05113_Buriticá;Total;7.368;89;42;5.193;1.949;69;3;0;0;23
05_Antioquia;;Cabecera;2.033;14;0;591;1.355;59;3;0;0;11
05_Antioquia;;Centro poblado;544;1;4;392;135;4;0;0;0;8
05_Antioquia;;Rural disperso;4.791;74;38;4.210;459;6;0;0;0;4
05_Antioquia;05120_Cáceres;Total;26.120;2.821;1.223;20.606;1.410;41;4;0;0;15
05_Antioquia;;Cabecera;5.247;214;229;3.869;913;15;4;0;0;3
05_Antioquia;;Centro poblado;12.100;455;646;10.574;403;10;0;0;0;12
05_Antioquia;;Rural disperso;8.773;2.152;348;6.163;94;16;0;0;0;0
05_Antioquia;05125_Caicedo;Total;7.015;239;21;4.172;2.418;161;0;0;0;4
05_Antioquia;;Cabecera;1.507;2;5;295;1.097;104;0;0;0;4
05_Antioquia;;Rural disperso;5.508;237;16;3.877;1.321;57;0;0;0;0
05_Antioquia;05129_Caldas;Total;75.971;174;373;7.884;49.938;17.145;259;149;20;29
05_Antioquia;;Cabecera;61.442;95;47;3.325;41.116;16.601;156;61;18;23
05_Antioquia;;Centro poblado;10.049;49;184;3.145;6.447;197;9;18;0;0
05_Antioquia;;Rural disperso;4.480;30;142;1.414;2.375;347;94;70;2;6
05_Antioquia;05134_Campamento;Total;7.402;379;173;2.817;3.749;261;13;0;0;10
